name,team,gradClass,position,height,weight,highSchool,homeTown_city,homeTown_state
Douglas Arveskär,Dartmouth College,So,Forward,6'5,185,Danderyds Gymnasium,Stockholm, Sweden
Kristian Feed,Dartmouth College,Sr,Midfielder,6'0,175,Sandnes,Sandnes, Norway
Phineas Callahan,Dartmouth College,Sr,Midfielder,5'10,170,Pierrepont School,Norwalk, Conn.
Marios Tziortzis,Dartmouth College,Fy,Winger,5'11,155,American Academy Larnaca,Larnaca, Cyprus
Andrew Ellis,Dartmouth College,Sr,Midfielder,6'1,190,Minneapolis Southwest,Minneapolis, Minn.
Trenton Blake,Dartmouth College,So,Forward,5'8,150,Florida Virtual Full Time High School,Tallahassee, Fla.
Fallou Ndiaye,Dartmouth College,Jr,Forward,6'0,195,Eleanor Roosevelt High School,New York, N.Y.
Oskar Magnusson,Dartmouth College,Jr,Midfielder,5'11,155,Flensborgarskólinn,Reykjavík, Iceland
James Wilson,Dartmouth College,Jr,Forward,6'1,180,Crescent School,Toronto, Ontario
Sebastián Mañón,Dartmouth College,Jr,Defender,6'0,175,The Taft School,Santo Domingo, Dominican Republic
Eidur Baldvinsson,Dartmouth College,Fy,Striker,6'5,,Verzlunarskoli Islands,Garðabær, Iceland
Raphael Oppong Owusu,Dartmouth College,Fy,Central Midfielder,5'11,160,Kimball Union Academy,Sunyani, Ghana
Cameron Brayne,Dartmouth College,So,Forward,5'11,175,Sevenoaks School,London, England
Will Lulka,Dartmouth College,So,Forward,6'1,180,Fordham Preparatory,New York, N.Y.
Sam Fenton,Dartmouth College,Jr,Defender,6'0,178,YSC Academy,Mount Laurel, N.J.
Raul Vargas,Dartmouth College,Jr,Midfielder,5'10,167,Green Valley Atenas,Atenas, Costa Rica
Orrett Maine,Dartmouth College,Sr,Midfielder,6'4,195,Greater Atlanta Christian,Atlanta, Ga.
David Mysiuk,Dartmouth College,Sr,Defender,6'1,185,Bradley-Bourbonnais,Bourbonnais, Ill.
Jonathan Preston,Dartmouth College,Sr,Midfielder,5'8,160,Shattuck St. Mary's Academy,Brentwood, Tenn.
Matt McPherson,Dartmouth College,Jr,Goalkeeper,6'1,185,Thomas Jefferson High School,Denver, Colo.
Jack Burden,Davidson College,Sr,GK,6'5,195,William R. Boone,Orlando,Fla.
Lucas Beltran,Davidson College,Jr,GK,6'2,170,San Dieguito Academy,Encinitas,Calif.
Hampton Hughes,Davidson College,Jr,D,6'3,180,Christ Church Episcopal School,Greenville,S.C.
Ayman Maadir,Davidson College,Jr,D,6'2,190,Langtree Charter Academy,Mooresville,N.C.
Jackson Nabors,Davidson College,Sr,F/MF,6'8,180,Indian Springs School,Vestavia Hills,Ala.
Patrick Ward,Davidson College,Jr,D,5'11,165,La Jolla Country Day,San Diego,Calif.
Myles Culley,Davidson College,Jr,F/MF,6'0,170,Waynflete High School,Falmouth,Maine
Jack Brown,Davidson College,Sr,D/MF,5'11,160,Brophy College Prep,Peoria,Ariz.
Brady McGlone,Davidson College,So,D,6'4,190,Worthington Kilbourne,Columbus,Ohio
Baylen Young,Davidson College,Sr,MF,5'11,150,Tampa Jesuit,Tampa,Fla.
Piers Ringdahl,Davidson College,Sr,F/MF,6'0,175,Oconee County,Watkinsville,Ga.
Noah Louzan,Davidson College,Jr,MF,6'1,160,Walton High School,Marietta,Ga.
Nico Quanbeck,Davidson College,Jr,MF,6'1,160,San Dieguito Academy,Encinitas,Calif.
Ben Minikel-Lacocque,Davidson College,Jr,MF,5'11,160,Madison West,Madison,Wisc.
Tobe Ibe,Davidson College,So,F,6'1,190,Deep Run High School,Richmond,Va.
Mateo Castellini,Davidson College,So,MF,,,Quaker Valley,Sewickley,Pa.
AJ Wild,Davidson College,So,D,6'2,180,Homestead High School,Mequon,Wisc.
Garrett Wilkens,Davidson College,So,D,6'1,170,Sherman High School,Gunter,Texas
Alonzo Clarke,Davidson College,Sr,MF/D,6'2,175,Loomis Chaffee,Windsor,Conn.
Carson Pridie,Davidson College,So,GK,6'3,180,Perry High School,Gilbert,Ariz.
Nicholas Alvaro Zeballos,Davidson College,Fr,F/MF,6'4,190,Collegiate School,Richmond,Va.
Aiden Boudro,Davidson College,Fr,F,6'3,180,Bay High,Bay St. Louis,Miss.
Judah Boyce,Davidson College,,Academic Year Fr.,,,West Lake Prep,Denver,N.C.
Charles Frink,Davidson College,Fr,MF,5'10,160,Mercer Island High School,Mercer Island,Wash.
Pablo Linzoain,Davidson College,Fr,F/MF,5'8,155,Fox Chapel Area High School,Pittsburgh,Pa.
Juan Pablo Ramos Mora,Davidson College,Fr,F,5'11,142,Memorial High School,Frisco,Texas
Santiago Davila,DePaul University,Gr,GK,6'2,,Wauwatosa East,Wauwatosa,Wis.
Ryan Thomas,DePaul University,Sr,D,5'8,,Stamford College,Peterborough,England
George Wyatt,DePaul University,Sr,D,6'2,,Woodhey,Bury,England
Ethan Gordon,DePaul University,R-Jr,D,6'2,,Booker T. Washington,Tulsa,Okla.
Joon Han,DePaul University,So,M,5'5,,Real Salt Lake,Orem,Utah
Callum Watts,DePaul University,Gr,M,5'10,,Preston School,Yeovil,England
Liam Mullins,DePaul University,Jr,F,5'11,,Desert Vista HS,Phoenix,Ariz.
Noeh Hernandez,DePaul University,Jr,M,5'9,,Chicago Fire Academy,Bridgeview,Ill.
Gavin Netzel,DePaul University,R-Fr,D,5'11,,Liberty,St. Louis,Mo.
Tyson Amoo-Mensah,DePaul University,Sr,M,5'9,,Naperville North,Naperville,Ill.
Max Padua,DePaul University,So,M,,,Chicago Fire Academy,Arlington Heights,Ill.
Tyler Flowers,DePaul University,R-Fr,M,5'11,,Sharon,Wilmington,Del.
Sam Moore,DePaul University,Sr,F,5'11,,Bloomington,Bloomington,Ill.
Clayton Brooks,DePaul University,Sr,GK,6'4,,St. Xavier,Louisville,Ky.
Chase Stegall,DePaul University,Jr,M,5'11,,Woodward Academy,Atlanta,Ga.
Keagan Pace,DePaul University,Jr,F,6'0,,Riverside HS,Greer,S.C.
Drew Clark,DePaul University,Jr,D,5'8,,Benilde-St. Margaret's,Plymouth,Minn.
Jordan Clagette,DePaul University,Jr,M,5'11,,Woodward Academy,Douglasville,Ga.
Luca Iaccino,DePaul University,So,F,6'0,,Indy Eleven,Rolling Meadows,Ill.
Evan Jimerson,DePaul University,So,M,,,Rise SC,Humble,Texas
Nolan McGuire,DePaul University,So,D,,,St. Louis City II,Saint Louis,Mo.
Christian Baumgartner,DePaul University,R-Jr,D,5'10,,Lincoln Way Central,New Lenox,Ill.
Daniel Hickiewicz,DePaul University,So,F,5'10,,Maine South,Park Ridge,Ill.
Hayden Vostal,DePaul University,So,GK,6'2,,Indy Eleven,Geneva,Ill.
Jayden Waski,DePaul University,So,F,5'11,,York Community,Elmhurst,Ill.
Carson Jeffery,Drake University,So,GK,6'2,,Xavier,Cedar Rapids, Iowa
Tommy Williams,Drake University,R-Sr,GK,5'11,,Bishop Miege,Roseland Park, Kan.
Tomas Butkovic,Drake University,Fr,GK,6'0,,Figtree,Wollongong, Australia
Deng Deng,Drake University,Gr,D/M,6'3,,Berkshire School,London, England
J.P. Pascarella,Drake University,Gr,M,5'11,,Leesville Road,Blaine, Minn.
Ryder Barrett,Drake University,Jr,D,6'1,,Rockhurst,Kansas City, Mo.
Brennan Rzewuski,Drake University,Gr,D,6'1,,Glenbard South,Lombard, Ill.
Sam DeLong,Drake University,Fr,Defender,6'1,,Olathe West,Olathe, Kan.
Barrett Kitts,Drake University,So,M,6'0,,St. Thomas Aquinas,Overland Park, Kan.
Kai Knuchel,Drake University,Sr,M,5'10,,Wirtschaftsschule Thun,Thun, Switzerland
Erich Legut,Drake University,Sr,F/M,6'0,,Waukesha West,Waukesha, Wis.
Damian Segura,Drake University,Jr,M,5'8,,North Gwinnett,Suwanee, Ga.
Evan Carlson,Drake University,R-Sr,F,5'8,,Sauk Prairie,Sauk City, Wis.
Snorre Espersen,Drake University,Fr,F,5'11,,Roskilde Katedralskole,Roskilde, Denmark
Jackson Kirsch,Drake University,So,M,5'10,,Marion,Marion, Iowa
Eskil Gjerde,Drake University,Jr,D,,,Karakterutskrift,Egersund, Norway
Colin Sandefur,Drake University,Fr,Forward,5'11,,Lawrence,Lawrence, Kan.
Brayden Shepard,Drake University,Fr,Forward,5'8,,Lewis Central,Council Bluffs, Iowa
Taylor Petrich,Drake University,Fr,Midfielder,6'0,,Hill-Murray School,Woodbury, Minn.
Dalton Visconti,Drake University,So,M,6'0,,Lee's Summit West,Lee's Summit, Mo.
Austin Holtebeck,Drake University,Gr,D,6'2,,Germantown,Germantown, Wis.
Robbie Wood,Drake University,Fr,Defender,6'0,,Strake Jesuit College Prep,Houston, Texas
Saiheed Jah,Drake University,So,F,6'2,,Moline,Moline, Ill.
Eloge Iradukunda,Drake University,Jr,F,5'10,,Preuss School,Maputo, Mozambique
Noah Corrigan,Drake University,Jr,D,6'0,,Middleton,Middleton, Wis.
Zacarias Escobar-Bowie,Drake University,So,F,6'0,,Sporting KC Academy,Richmond, Texas
Chase Wakefield,Drake University,Fr,Midfielder,6'1,,Bettendorf,Bettendorf, Iowa
Preston Kipnusu,Drake University,Fr,Forward,6'4,,Valley,West Des Moines, Iowa
Cole Schrage,Drake University,So,D,6'2,,Waukee Northwest,Urbandale, Iowa
Quinn Millerd,Drake University,R-Jr,GK,6'5,,Bainbridge,Bainbridge Island, Wash.
Raphael Bartell,Drexel University,Jr,GK,6'1,169,Poelchau Sportschule-Im-Olympiapark,Rostock,Germany
Alessandro Capogna,Drexel University,Gr,GK,6'2,183,IIS Brunelleschi,Boville Ernica,Italy
Mateusz Wojtalik,Drexel University,Fr,D,6'2,178,Spjelkavik Videregående Skole,Aalesund,Norway
Gavin Carmichael,Drexel University,Fr,D,6'1,168,Loyola Blakefield,Towson,Md.
Julian Jordheim,Drexel University,So,D,6'3,190,Wang Toppidrett Fredrikstad,Fredrikstad,Norway
Isaiah Whittaker-Francis,Drexel University,So,D,5'11,170,St. Edmund Campion,Brampton,Ontario
Levi Christie,Drexel University,Fr,M,5'10,150,Governor Miffilin,Knauers,Pa.
Cesar Banacloy,Drexel University,Gr,D,6'0,154,Montverde Academy,Valencia,Spain
Giancarlo Vaccaro,Drexel University,Sr,F,5'8,155,Dante Aligheri Academy,Toronto,Ontario
Christian Combs,Drexel University,Jr,F,5'9,150,Germantown Academy,North Wales,Pa.
Omar Jallow,Drexel University,Fr,F,6'0,155,Hillgrove,Powder Springs,Ga.
Zain Akhtar,Drexel University,So,D/M,5'9,155,Caravel Academy,Bear,Delaware
Kaden Onolaja,Drexel University,Fr,M,5'7,145,Loyola Blakefield,Bel Air,Md.
Mo Diallo,Drexel University,Fr,M,5'8,150,YSC Academy,Paris,France
Patrick Short,Drexel University,Gr,M,5'11,165,Sussex Tech,Georgetown,Del.
Yorgos Gavas,Drexel University,Fr,D,5'8,165,Halifax West,Halifax,Nova Scotia
Dominick Bachstein,Drexel University,Gr,F,6'3,180,Conestoga,Malvern,Pa.
Carles Aliberch,Drexel University,Sr,M,5'8,162,Complejo Preuniversitario Mas Camarena,Barcelona,Spain
Ben Weller,Drexel University,Jr,F,6'2,175,Winters Mill High School,Westminster,Md.
Max Haberl,Drexel University,So,D/M,6'0,170,Tourismschool Klessheim,Seeham,Austria
Sebastian Perez-Gasiba,Drexel University,Fr,M,5'8,160,The Haverford School,Media,Pa.
Ori Arzi,Drexel University,Sr,D,5'9,159,Makif Yehud High School,Yehud,Israel
Colin Davis,Drexel University,Gr,D,6'1,180,Hatboro-Horsham,Doylestown,Pa.
Stephen Appiah,Drexel University,Sr,F,6'0,170,Ferncreek,Woodbridge,Va.
Ben Hanas,Drexel University,Fr,GK,6'2,185,Danvers,Danvers,Mass.
Ethan Schaefer,Drexel University,Fr,F,5'11,155,Rockhurst,Kansas City,Mo.
James Fitzgerald,Drexel University,Jr,D,6'0,190,William Penn Charter School,Flourtown,Pa.
Julian Pittaoulis,Drexel University,Jr,F/M,5'11,160,Central,Philadelphia,Pa.
Grant Farley,Duke University,Sr,GK,6'3,210,Gilman School,Baltimore,Md.
Ryan Gallagher,Duke University,Gr,GK,6'1,175,Jesuit High School,Tampa,Fla.
Wessel Speel,Duke University,Gr,GK,6'7,200,St. Bonifatius College,Utrecht,Netherlands
Jamie Kabuusu,Duke University,Fr,M,5'10,150,New England Revolution,Chestnut Hill,Mass.
Kamran Acito,Duke University,Jr,D,6'3,185,Trinity School,Manhattan,N.Y.
Trevor Burns,Duke University,Gr,M,5'8,150,New England Revolution,Kansas City,Mo.
Alex Hauschild,Duke University,Fr,D,6'2,170,NYCFC,Greenwich,Conn.
Cameron Kerr,Duke University,Gr,M,5'11,145,Chapel Hill,Chapel Hill,N.C.
Felix Barajas,Duke University,Sr,M,5'9,150,California Connections Academy,Los Angeles,Calif.
Nikolai Bull Jorgensen,Duke University,So,M/F,6'2,183,NTG Kongsvinger,Asker,Norway
Ulfur Bjornsson,Duke University,So,F,6'3,187,Verzlunarskólinn,Hafnarfjörður,Iceland
Drew Kerr,Duke University,Jr,M,6'0,160,Accelerator School,Hillsborough,N.C.
Colton Pleasants,Duke University,Gr,M,5'8,145,Crossroads Flex,Raleigh,N.C.
Ruben Mesalles,Duke University,Sr,D,6'0,165,IMG Academy,Sarasota,Fla.
Jose Ortega,Duke University,Jr,F,5'11,165,Georgetown Preparatory School,Bethesda,Md.
Jack Zugay,Duke University,Gr,M,6'1,160,Pioneer,Ann Arbor,Mich.
Luke Thomas,Duke University,Gr,M,6'0,150,Cannon School,Charlotte,N.C.
Adrian Byasiima,Duke University,Fr,F,6'0,170,Nolensville,Nolensville,Tenn.
Julius Suber,Duke University,Fr,M,6'2,171,O'Dea,Kirkland,Wash.
Sintayehu Clements,Duke University,Sr,D,6'1,180,The Northwest School,Seattle,Wash.
Andrew Myerson,Duke University,So,M/D,6'1,180,Issaquah,Issaquah,Wash.
Niclas Wittur,Duke University,Gr,D,6'1,185,Wingate,Schildow,Germany
Caleb Donaldson,Duke University,So,M,5'9,150,Martin Luther King Jr.,Nashville,Tenn.
Kenan Hot,Duke University,Jr,M,5'11,165,Middletown South,Lincroft,N.J.
Axel Gudbjornsson,Duke University,Jr,D,6'4,195,Commercial College of Iceland,Reykjavik,Iceland
Hudson Hazlewood,Duke University,Gr,M,5'11,150,Dunlap,Princeville,Ill.
Adam Luckhurst,Duke University,Gr,F,6'0,165,Bishop Diego,Santa Barbara,Calif.
Sebastian Docters,Duke University,Sr,M,5'11,155,Hackley School,Larchmont,N.Y.
Nate Mulvaney,Duke University,Sr,D,5'11,185,Sage Ridge School,Reno,Nev.
Nathan Gaviser,Duke University,So,GK,6'3,187,Edgemont,Edgemont,N.Y.
Aaron Meono,Duquesne University,So,Goalkeeper,6'0,170,Palos Verdes (Akron),Redondo Beach, Calif.
Sergios Feneridis,Duquesne University,Jr,Defender,6'0,150,Pascal English School Nicosia (Virginia Tech),Nicosia, Cyprus
Blaize Hardy,Duquesne University,R-Jr,Defender,6'2,165,Hamilton (VCU),Queen Creek, Ariz.
Ofek Sasson,Duquesne University,So,Defender,6'4,188,Mikve Israel,Ramat Gan, Israel
Sam Bennett,Duquesne University,Sr,Defender,6'0,180,Hempfield (Indiana),Lancaster, Pa.
Grant McIntosh,Duquesne University,Sr,Midfielder,6'0,165,Plano West (Akron),Plano, Texas
Hákon Dagur Matthíasson,Duquesne University,Fr,Midfielder,6'1,158,Commercial College of Iceland,Reykjavík, Iceland
Bendix Bennetzen,Duquesne University,So,Midfielder,5'10,167,Rybners Gymnasier,Esbjerg, Denmark
Dakota Jonke,Duquesne University,Sr,Forward,6'2,185,St. Edward (Cornell),Cleveland, Ohio
Roni Badler,Duquesne University,So,Forward,5'10,165,Shazar,Tel Aviv, Israel
Mathieu Brick,Duquesne University,Jr,Defender,5'9,154,Florida Virtual (Clemson),Oviedo, Fla.
Ashton Jell,Duquesne University,Sr,Defender/Midfielder,5'8,165,Lancaster Central,Lancaster, N.Y.
Jaxon Ervin,Duquesne University,R-Jr,Midfielder,5'10,160,West Allegheny,Pittsburgh, Pa.
Marko Rasmussen,Duquesne University,So,Forward,5'11,155,College360,Silkeborg, Denmark
Miles Imparato,Duquesne University,So,Midfielder,5'10,150,H.B. Plant (Indiana),Tampa, Fla.
Chris Philibin,Duquesne University,R-So,Defender,5'11,155,Western Reserve Academy,Youngstown, Ohio
Tyler Kato,Duquesne University,Jr,Midfielder,6'3,170,Ann Arbor Pioneer (Air Force),Ann Arbor, Mich.
Ashwin Menon,Duquesne University,R-Jr,Defender,5'10,168,Westlake Academy (Oregon State),Trophy Club, Texas
Daman Sangha,Duquesne University,Jr,Defender,6'3,170,Boyertown Area (South Carolina),Gilbertsville, Pa.
Pepo Bravo,Duquesne University,R-Sr,Midfielder,5'9,155,Sek el castillo (Florida Atlantic),Madrid, Spain
Diego Chavez,Duquesne University,R-Sr,Goalkeeper,6'2,195,Skyline (Colorado Mesa),Boulder, Colo.
Sam Coss,Duquesne University,R-Jr,Goalkeeper,6'1,180,Bowie (Syracuse),Bowie, Md.
Owen Gall,Duquesne University,Fr,Midfielder,5'10,150,Marcus,Highland Village, Texas
Mikey Morales,Duquesne University,Jr,Midfielder,6'0,160,Florida Christian School (Tulsa),Miami, Fla.
Luke Fiscus,Duquesne University,So,Defender,5'8,145,Hampton,Pittsburgh, Pa.
Adrian Rosario,Duquesne University,Fr,Defender,5'10,165,Mater Virtual Academy,Weston, Fla.
Dan Banks,Duquesne University,So,Midfielder,6'1,165,South Kingstown (Worcester Academy),Providence, R.I.
Cody Da,Duquesne University,Jr,Forward,6'1,163,Richard Montgomery (Macalester),Rockville, Md.
Sam McGee,East Tennessee State University,So,GK,6'1,183,,Johnson City, Tenn.
Marc Kouadio,East Tennessee State University,Sr,GK,6'2,180,,Montreal, Canada
Dave Neijenhuis,East Tennessee State University,Gr,D,,,,Millingen aan de Rijn, Netherlands
Hubert Deragon,East Tennessee State University,Jr,D,6'0,170,,Quebec City, Canada
Ryan Suckling,East Tennessee State University,Gr,D,6'1,195,,Surrey, England
Ulysses Hendriks,East Tennessee State University,Fr,MF,6'2,165,,Antwerp, Belgium
Gabriel Betancourt,East Tennessee State University,Jr,MF,5'10,152,,Charlotte, N.C.
Gabriel Ramos,East Tennessee State University,Gr,F,5'6,150,,Sao Paulo, Brazil
Louie Salkeld,East Tennessee State University,So,MF,6'1,161,,Newcastle, England
Ingvar Kolbjornsen,East Tennessee State University,Fr,MF,5'7,150,,Sotra, Norway
Abdi Bahur,East Tennessee State University,Fr,F,6'1,145,,Ontario, Canada
Lucas Nordin,East Tennessee State University,So,F,6'0,170,,Knoxville, Tenn.
Oliver Einarsson,East Tennessee State University,Fr,MF,5'10,165,,Keflavik, Iceland
Jason Gun,East Tennessee State University,Jr,D,6'1,170,,Asheville, N.C.
Noah Franks,East Tennessee State University,So,F,,,,Charlotte, N.C.
Henrique Cruz,East Tennessee State University,Jr,D,6'3,175,,Sao Paulo, Brazil
Elijah Lynch,East Tennessee State University,Fr,MF,5'10,160,,Knoxville, Tenn.
Jimmy Choi,East Tennessee State University,Fr,F,6'0,165,,Yangsan-si, South Korea
Anton Ottesen,East Tennessee State University,Fr,GK,6'4,194,,Akranes, Iceland
Zayd Idlibi,East Tennessee State University,R-So,F,5'10,160,,Charlotte, N.C.
Rodrigue Moussa,East Tennessee State University,Fr,MF,5'5,130,,Roanoke, Va.
Matias Delellis,East Tennessee State University,Fr,MF,6'0,160,,Ashburn, Va.
Morgan Marvik,East Tennessee State University,Fr,D,6'0,154,,Stavanger, Norway
Agust Arnason,East Tennessee State University,Fr,D,6'2,190,,Akureyri, Iceland
Nico Kross,East Tennessee State University,So,D,6'2,188,,Heidenheim, Germany
Shewit Worton,East Tennessee State University,So,MF,5'9,150,,Franklin, Tenn.
Max Kaplan,East Tennessee State University,Jr,GK,6'1,175,,Knoxville, Tenn.
Will Bowers,East Tennessee State University,So,GK,5'9,185,,Concord, N.C.
Lucas Ortiz,Eastern Illinois University,R-So,Goalkeeper,6'0,170,Romeoville,Romeoville, Ill.
David Brown,Eastern Illinois University,So,Defender,6'2,180,South Warren High School,Woodburn, Ky.
Nate Hagemann,Eastern Illinois University,So,Defender,6'1,175,Batavia,Batavia, Ill.
Casey Welage,Eastern Illinois University,Sr,Midfielder,5'11,165,Archbishop Moeller,Liberty Township, Ohio
Adam Boykin,Eastern Illinois University,So,Forward,5'11,165,Edwardsville,Edwardsville, Ill.
Jackson Cote,Eastern Illinois University,So,Forward,5'10,155,Traverse City West,Traverse City, Mich.
Patrick Osilaja,Eastern Illinois University,R-So,Defender,6'0,175,Evanston Township,Evanston, Ill.
Nolan Getzinger,Eastern Illinois University,So,Forward,6'2,165,Crystal Lake South,Crystal Lake, Ill.
Nate Kennedy,Elon University,R-So,Goalkeeper,6'0,185,IMG Academy,Timonium, Md.
Jackson Leavitt,Elon University,Gr,Goalkeeper,6'0,170,Allen,Allen, Texas
August Guinle,Elon University,Gr,Defender,5'11,162,Lincoln Charter,Denver, N.C.
Jack Donlan,Elon University,Sr,Defender,6'5,,Oldham Sixth Form,Manchester, England
Carlos Levy,Elon University,R-Jr,Defender,6'3,188,NSU University School,Mexico City, Mexico
Majaliwa Msabaha,Elon University,Sr,Midfielder,5'6,158,,Randers, Denmark
Jordin Wilson,Elon University,Jr,Forward,5'11,165,,Nassau, Bahamas
Connor Mucchetti,Elon University,Sr,Midfielder,6'0,170,Walter Johnson,Bethesda, Md.
Colin Veltri,Elon University,Sr,Forward/Midfield,5'11,160,Oakcrest,Mays Landing, N.J.
Oscar Tonidandel,Elon University,R-Fr,Midfield,5'9,,North Carolina,Clemmons, N.C.
Ryan Buckon,Elon University,So,Forward/Midfield,5'11,,First Colonial,Virginia Beach, Va.
Charlie  Kitch,Elon University,Jr,Defender,6'5,,Shawnee,Medford, N.J.
Diego  Thompson,Elon University,Fr,Midfield,6'0,,IMG Academy,Rome, Italy
Nicholas Mackinnon,Elon University,So,Defender,6'4,185,St. Thomas More Collegiate,Vancouver, Canada
Will Dunn,Elon University,R-Fr,Forward,6'3,,Mechanicsville,Mechanicsville, Va.
Noah Sonne Kargo,Elon University,Jr,Midfield,5'11,,College360,Silkeborg, Denmark
Martin Kozak,Elon University,Jr,Midfield,5'11,,St. John's (NY),Santiago, Chile
JP Quigley,Elon University,R-So,Midfielder,6'0,169,Webb School of Knoxville,Knoxville, Tenn.
Korey Philpot,Elon University,So,Defender,5'10,,Mount Vernon Presbyterian,Atlanta, Ga.
Jahmir Flowers,Elon University,Jr,Midfielder,5'10,170,Grimsley,Greensboro, N.C.
Will Evans,Elon University,R-Fr,Midfield,6'0,,Darlington School,Nassau, Bahamas
Sumner Nenninger,Elon University,R-Jr,Midfielder,5'11,160,South Burlington HS,South Burlington, Vt.
Tristian D'Adamo,Elon University,Fr,Goalkeeper,6'2,,IMG Academy,Tryon, N.C.
Grady Pierce,Elon University,R-Fr,Midfield,5'10,,Clover,Clover, SC
Lorenzo  Marin,Elon University,Fr,Forward,5'9,,Charlotte FC,Cary, N.C.
Ryan Manna,Elon University,Gr,Midfielder,5'10,175,John S. Burke Catholic HS,Goshen, N.Y.
Kyle Briere,Fairfield University,Gr,Goalkeeper,5'11,,North Attleboro,North Attleboro, Mass.
Viktor Nikolov,Fairfield University,Jr,Goalkeeper,6'3,,Universidad Alfonso X El Sabio,Plovdiv, Bulgaria
Mark Anastasio,Fairfield University,Jr,Defender,6'0,,,Fairfield, Conn.
Juan Pablo Leano,Fairfield University,Sr,Defender,6'3,,,Guadalajara, Mexico
Cody Read,Fairfield University,Jr,Defender,6'1,,,Leicester, England
Jordan Blunschi,Fairfield University,Jr,Defender,6'3,,Weston,Weston, Conn.
Daunte Tulloch,Fairfield University,Fr,Defender,6'0,,St. Mary's Catholic Secondary,Ontario, Canada
Rasmus Sorensen Rejnhold,Fairfield University,Sr,Forward,6'1,170,,Esbjerg, Denmark
Joseph Stocchetti,Fairfield University,Gr,Midfielder,5'8,160,Saint Joan of Arc,Maple, Ontario
Alex  Marin,Fairfield University,Gr,Forward,6'3,,Cardinal Carter Catholic,Toronto, Ontario
William Pierce,Fairfield University,Jr,Midfielder,5'9,,AF Pacific,Christchurch, N.Z.
Asher Rosen,Fairfield University,So,Forward,5'8,,Palm Harbor University HS,Crystal Beach, Fla.
Joseph Arena,Fairfield University,Gr,Midfielder,5'11,,Holmdel,Holmdel, N.J.
Kris Naicker,Fairfield University,Sr,Defender,5'11,,Scotts College,Auckland, New Zealand
Owen Drummond,Fairfield University,Fr,Midfielder,6'0,,SAI Academy,Longwood, Fla.
Dylan Medeiros,Fairfield University,Jr,Forward,5'7,,Sheehan,Wallingford, Conn.
Kaea Rangihaeata,Fairfield University,Jr,Forward,6'0,,,Auckland, New Zealand
Thomas Drillien,Fairfield University,Gr,Forward,6'2,,Auckland Grammar,Auckland, New Zealand
Devin Zachry,Fairfield University,Fr,Forward,6'1,,Capistrano Valley,Mission Viejo, Calif.
Brett Sieg,Fairfield University,Jr,Midfielder,5'11,,Christian Brothers Academy,Little Silver, N.J.
Alex Oliveira,Fairfield University,Gr,Midfielder,5'10,155,St. Benedict's Prep,Union, N.J.
Jacob Vitale,Fairfield University,Gr,Defender,5'9,,Brighton,Rochester, N.Y.
Lenni Mierow,Fairfield University,Gr,Defender,5'11,,Julius Leber School,Hamburg, Germany
Stephen  Perno,Fairfield University,Sr,Defender,5'10,185,Kellenberg Memorial,New Hyde Park, N.Y.
Tyler  Reavis,Fairfield University,Jr,Defender,5'8,,California HS,San Ramon, Calif.
Sam Danner,Fairfield University,Jr,Midfielder,5'9,,Charter Community,Aurora, Colo.
Shayan Rad,Fairfield University,So,Goalkeeper,5'11,,Don Bosco,Edgewater, N.J.
Victor Labite,Fairleigh Dickinson University,Jr,,,,Lycée Saint Francois Xavier,Caen, France
Gabriel Le Guen,Fairleigh Dickinson University,Jr,Defender,6'1,176,Lycée La Croix Rouge,Ploemeur, France
Nk Tima,Fairleigh Dickinson University,Gr,Defender,5'10,170,Appoquinimink,Middletown, Del.
Damian Naumoski,Fairleigh Dickinson University,Gr,Midfielder,6'0,170,Boonton,Lincoln Park, N.J.
Matt Giraldo,Fairleigh Dickinson University,Sr,Forward,5'6,145,Elizabeth,Elizabeth, N.J.
Dominic Valenzuela,Fairleigh Dickinson University,So,Midfielder,5'9,165,Wayne Valley,Wayne, N.J.
Eric  Dlabal,Fairleigh Dickinson University,Gr,Defender/Midfielder,5'10,150,Paramus,Paramus, N.J.
Jaime Barbero,Fairleigh Dickinson University,Sr,Forward,5'9,155,IES Fuente San Luis,Valencia, Spain
Jeffrey Marquez,Fairleigh Dickinson University,Sr,Defender,5'10,150,North Bergen,North Bergen, N.J.
Alex Ferenac,Fairleigh Dickinson University,Jr,Forward,5'11,165,Edgewater,Orlando, Fla.
Harrison Hew,Fairleigh Dickinson University,Sr,Defender,6'4,175,Cayman,Bodden Town, Cayman Islands
Alex Pichardo,Fairleigh Dickinson University,So,Midfielder/Defender,5'8,135,Monroe Woodbury,Highland Mills, N.Y.
Julian Ramirez,Fairleigh Dickinson University,So,Forward,5'9,160,Allentown,Hamilton, N.J.
Luke Ayaz,Fairleigh Dickinson University,So,Midfielder,6'1,175,Westwood Regional,Washington, N.J.
Justin Scavalla,Fairleigh Dickinson University,So,Goalkeeper,6'2,175,West Orange,West Orange, N.J.
Francisco Ranieri,Florida Atlantic University,,Academic Year So.,,,Inter Miami 2,Buenos Aires,Argentina
Malique Spooner,Florida Atlantic University,,Academic Year So.,,,Loughborough College,London,England
Caleb Chapman,Florida Atlantic University,,Academic Year So.,,,Boca Raton Community HS,Boca Raton,Fla.
Callum Frogson,Florida Atlantic University,,Academic Year Jr.,,,Fort Hays State,Nottingham,England
